district,division,climate_zone,year,month,rainfall_mm,river_level_m,soil_saturation_percent,drainage_quality,district_flood_prone,flood_occurred
Jaffna,Jaffna-DS6,Dry,2011,10,98.3,1.87,31.8,Moderate,0,0
Kandy,Kandy-DS6,Wet,2010,3,355.9,3.4,49.5,Moderate,1,1
Batticaloa,Batticaloa-DS5,Dry,2010,9,78.5,2.01,35.4,Poor,1,0
Kurunegala,Kurunegala-DS1,Intermediate,2010,1,276.9,3.4,46.6,Moderate,1,1
Galle,Galle-DS4,Wet,2009,6,360.4,3.61,65.6,Moderate,1,1
Ratnapura,Ratnapura-DS4,Wet,2015,2,207.3,3.23,44.3,Moderate,1,1
Kegalle,Kegalle-DS4,Wet,2018,5,179.3,2.79,48.4,Poor,1,1
Batticaloa,Batticaloa-DS3,Dry,2018,9,118.9,2.61,41.7,Moderate,1,0
Kurunegala,Kurunegala-DS1,Intermediate,2020,5,176.3,2.73,36.2,Poor,1,0
Badulla,Badulla-DS5,Intermediate,2021,9,68.6,1.78,38.9,Moderate,0,0
Nuwara Eliya,Nuwara Eliya-DS3,Wet,2025,2,166.4,2.92,47.2,Moderate,0,0
Anuradhapura,Anuradhapura-DS6,Dry,2024,10,99.6,1.84,31.9,Moderate,0,1
Kandy,Kandy-DS6,Wet,2024,1,75.3,2.4,45.9,Moderate,1,0
Kegalle,Kegalle-DS3,Wet,2020,9,366.4,3.23,66.8,Poor,1,0
Matale,Matale-DS6,Intermediate,2020,6,220.8,1.92,40.3,Good,0,0
Jaffna,Jaffna-DS3,Dry,2021,2,51.9,1.67,29.5,Poor,0,0
Anuradhapura,Anuradhapura-DS2,Dry,2010,8,100.7,1.92,40.7,Poor,0,0
Kegalle,Kegalle-DS1,Wet,2014,9,329.8,3.49,64.0,Poor,1,0
Colombo,Colombo-DS4,Wet,2021,9,326.9,3.62,62.5,Good,1,1
Anuradhapura,Anuradhapura-DS3,Dry,2008,1,118.5,2.02,32.7,Moderate,0,0
Anuradhapura,Anuradhapura-DS5,Dry,2025,4,102.3,1.9,35.2,Good,0,0
Moneragala,Moneragala-DS1,Dry,2012,2,65.7,1.81,27.6,Moderate,0,0
Anuradhapura,Anuradhapura-DS5,Dry,2013,11,78.4,1.86,25.2,Poor,0,0
Kalutara,Kalutara-DS4,Wet,2014,9,256.1,3.56,59.3,Moderate,1,0
Kalutara,Kalutara-DS5,Wet,2015,4,302.6,3.21,55.5,Poor,1,1
Ratnapura,Ratnapura-DS1,Wet,2012,9,201.1,3.17,51.9,Good,1,1
Ratnapura,Ratnapura-DS2,Wet,2019,7,470.7,3.91,75.0,Good,1,1
Kilinochchi,Kilinochchi-DS6,Dry,2024,8,156.9,2.2,42.7,Moderate,0,0
Moneragala,Moneragala-DS4,Dry,2008,7,78.7,2.09,39.4,Good,0,0
Matale,Matale-DS1,Intermediate,2021,2,120.3,1.62,42.2,Moderate,0,1
Jaffna,Jaffna-DS6,Dry,2013,5,143.7,2.17,37.6,Moderate,0,1
Mannar,Mannar-DS4,Dry,2020,4,51.3,1.52,35.3,Poor,0,0
Matara,Matara-DS2,Wet,2013,1,218.7,2.93,59.2,Moderate,1,0
Kandy,Kandy-DS6,Wet,2018,4,180.1,2.63,51.9,Moderate,1,1
Kegalle,Kegalle-DS1,Wet,2013,9,672.6,4.53,89.4,Good,1,1
Nuwara Eliya,Nuwara Eliya-DS6,Wet,2022,10,177.7,2.6,58.8,Moderate,0,0
Vavuniya,Vavuniya-DS3,Dry,2024,6,73.8,1.76,37.9,Poor,0,0
Badulla,Badulla-DS4,Intermediate,2017,8,109.2,1.86,28.5,Moderate,0,0
Nuwara Eliya,Nuwara Eliya-DS6,Wet,2015,8,268.4,2.81,49.9,Good,0,0
Nuwara Eliya,Nuwara Eliya-DS4,Wet,2014,7,229.3,2.67,45.3,Good,0,0
Anuradhapura,Anuradhapura-DS1,Dry,2012,6,75.1,1.93,31.4,Good,0,0
Badulla,Badulla-DS2,Intermediate,2019,3,310.2,2.18,45.7,Poor,0,0
Ratnapura,Ratnapura-DS5,Wet,2010,11,321.2,3.08,50.4,Poor,1,1
Vavuniya,Vavuniya-DS4,Dry,2014,10,116.3,1.91,38.2,Moderate,0,0
Matara,Matara-DS1,Wet,2016,3,299.6,3.26,61.9,Moderate,1,0
Batticaloa,Batticaloa-DS3,Dry,2019,3,78.9,2.08,33.5,Good,1,0
Anuradhapura,Anuradhapura-DS3,Dry,2023,5,133.6,1.91,33.7,Moderate,0,0
Matara,Matara-DS6,Wet,2013,9,313.8,3.1,57.1,Poor,1,1
Matale,Matale-DS5,Intermediate,2018,10,226.0,2.58,46.3,Moderate,0,0
Kurunegala,Kurunegala-DS2,Intermediate,2016,8,106.8,2.58,34.1,Good,1,0
Colombo,Colombo-DS2,Wet,2018,11,470.6,3.77,75.3,Poor,1,1
Galle,Galle-DS3,Wet,2010,7,312.2,3.92,60.8,Good,1,0
Kegalle,Kegalle-DS2,Wet,2021,9,433.1,3.51,60.1,Good,1,0
Mullaitivu,Mullaitivu-DS4,Dry,2016,9,76.9,1.6,31.7,Good,0,0
Vavuniya,Vavuniya-DS1,Dry,2025,7,77.8,1.78,39.6,Moderate,0,0
Mannar,Mannar-DS1,Dry,2008,7,88.0,1.99,27.6,Good,0,0
Trincomalee,Trincomalee-DS5,Dry,2019,1,137.3,3.03,39.5,Moderate,1,0
Moneragala,Moneragala-DS6,Dry,2017,9,66.6,2.34,36.2,Moderate,0,0
Kegalle,Kegalle-DS4,Wet,2020,3,359.3,3.6,60.2,Good,1,0
Vavuniya,Vavuniya-DS6,Dry,2019,3,147.1,2.01,36.2,Good,0,0
Trincomalee,Trincomalee-DS2,Dry,2012,4,120.1,2.78,29.1,Moderate,1,0
Mullaitivu,Mullaitivu-DS3,Dry,2024,7,93.5,1.54,31.7,Good,0,0
Kegalle,Kegalle-DS1,Wet,2023,6,405.7,3.63,71.7,Poor,1,1
Ampara,Ampara-DS2,Dry,2016,9,83.4,1.82,44.1,Moderate,0,0
Moneragala,Moneragala-DS5,Dry,2015,5,62.0,1.71,38.6,Moderate,0,0
Kandy,Kandy-DS1,Wet,2011,10,403.1,3.57,65.0,Moderate,1,0
Colombo,Colombo-DS3,Wet,2024,2,146.7,2.98,39.1,Moderate,1,1
Vavuniya,Vavuniya-DS3,Dry,2009,1,103.5,2.0,41.4,Good,0,0
Gampaha,Gampaha-DS1,Wet,2017,6,323.9,3.28,62.6,Good,1,1
Matara,Matara-DS2,Wet,2019,3,262.6,3.13,58.6,Good,1,1
Vavuniya,Vavuniya-DS1,Dry,2024,11,272.5,2.48,49.9,Moderate,0,0
Matale,Matale-DS2,Intermediate,2021,5,194.9,2.19,45.0,Good,0,0
Kalutara,Kalutara-DS6,Wet,2023,9,463.9,4.02,74.8,Poor,1,1
Moneragala,Moneragala-DS2,Dry,2010,7,60.5,1.59,30.3,Good,0,0
Ampara,Ampara-DS2,Dry,2021,3,63.1,1.43,36.5,Good,0,0
Kilinochchi,Kilinochchi-DS1,Dry,2009,9,127.8,2.01,28.7,Poor,0,0
Kurunegala,Kurunegala-DS4,Intermediate,2008,2,91.0,2.51,31.0,Moderate,1,0
Moneragala,Moneragala-DS2,Dry,2009,3,62.8,1.82,31.7,Good,0,0
Galle,Galle-DS3,Wet,2022,12,153.3,2.97,52.4,Good,1,0
Matara,Matara-DS2,Wet,2012,3,180.6,2.85,44.2,Moderate,1,1
Kilinochchi,Kilinochchi-DS6,Dry,2016,5,172.9,2.05,51.3,Moderate,0,0
Mullaitivu,Mullaitivu-DS2,Dry,2023,8,81.5,1.89,36.4,Moderate,0,0
Kalutara,Kalutara-DS2,Wet,2019,10,332.0,3.21,54.3,Poor,1,1
Galle,Galle-DS3,Wet,2022,7,420.3,3.73,62.1,Poor,1,1
Puttalam,Puttalam-DS3,Dry,2010,3,64.1,1.94,42.0,Moderate,0,0
Ampara,Ampara-DS5,Dry,2013,4,95.0,1.94,29.4,Good,0,0
Jaffna,Jaffna-DS2,Dry,2017,9,57.1,1.78,38.9,Moderate,0,0
Ampara,Ampara-DS4,Dry,2013,9,76.2,1.76,40.2,Poor,0,0
Kegalle,Kegalle-DS1,Wet,2012,3,533.2,4.18,73.4,Good,1,1
Ampara,Ampara-DS2,Dry,2015,7,75.0,2.22,35.7,Good,0,0
Kandy,Kandy-DS5,Wet,2010,2,222.1,2.87,51.8,Good,1,0
Vavuniya,Vavuniya-DS5,Dry,2023,10,132.0,2.31,49.6,Good,0,1
Ampara,Ampara-DS1,Dry,2019,3,144.6,2.31,43.3,Moderate,0,0
Kilinochchi,Kilinochchi-DS1,Dry,2015,10,285.2,2.45,50.7,Good,0,0
Nuwara Eliya,Nuwara Eliya-DS3,Wet,2021,11,301.0,2.79,46.4,Poor,0,1
Moneragala,Moneragala-DS4,Dry,2021,10,117.9,1.91,35.2,Moderate,0,0
Colombo,Colombo-DS6,Wet,2013,9,137.8,2.87,46.7,Moderate,1,0
Galle,Galle-DS2,Wet,2024,6,189.4,2.61,54.6,Good,1,0
Colombo,Colombo-DS2,Wet,2012,3,271.5,2.84,68.0,Good,1,0
Kurunegala,Kurunegala-DS2,Intermediate,2023,11,215.4,3.01,46.8,Moderate,1,0
Vavuniya,Vavuniya-DS1,Dry,2016,3,63.3,1.96,35.4,Poor,0,0
Ratnapura,Ratnapura-DS6,Wet,2020,5,457.5,3.8,75.5,Poor,1,1
Puttalam,Puttalam-DS1,Dry,2022,9,60.8,1.97,36.4,Poor,0,0
Matara,Matara-DS5,Wet,2013,10,200.8,3.07,57.5,Moderate,1,0
Galle,Galle-DS4,Wet,2016,3,261.5,2.91,67.6,Good,1,0
Anuradhapura,Anuradhapura-DS4,Dry,2021,7,99.4,1.58,40.9,Moderate,0,0
Trincomalee,Trincomalee-DS1,Dry,2018,6,67.1,2.64,36.0,Good,1,0
Puttalam,Puttalam-DS5,Dry,2019,8,117.3,2.45,35.2,Good,0,0
Mannar,Mannar-DS2,Dry,2017,6,96.5,1.93,41.1,Poor,0,1
Galle,Galle-DS2,Wet,2018,11,163.5,2.94,47.3,Moderate,1,1
Moneragala,Moneragala-DS6,Dry,2011,3,99.4,2.25,38.7,Good,0,0
Mannar,Mannar-DS3,Dry,2011,1,172.2,2.42,33.8,Good,0,0
Trincomalee,Trincomalee-DS6,Dry,2019,10,102.4,2.35,34.5,Moderate,1,0
Batticaloa,Batticaloa-DS3,Dry,2021,5,132.9,2.09,45.3,Moderate,1,0
Gampaha,Gampaha-DS2,Wet,2013,2,339.1,3.03,48.9,Poor,1,0
Jaffna,Jaffna-DS6,Dry,2009,6,63.6,1.65,30.2,Moderate,0,0
Nuwara Eliya,Nuwara Eliya-DS4,Wet,2008,1,264.6,2.81,43.9,Poor,0,1
Kegalle,Kegalle-DS4,Wet,2025,12,153.6,2.82,39.4,Good,1,1
Colombo,Colombo-DS6,Wet,2023,6,409.7,3.36,69.5,Moderate,1,0
Mannar,Mannar-DS3,Dry,2024,6,85.8,2.11,22.3,Good,0,0
Kandy,Kandy-DS4,Wet,2015,1,135.5,2.57,45.3,Moderate,1,0
Jaffna,Jaffna-DS2,Dry,2010,9,72.4,2.12,34.5,Good,0,0
Galle,Galle-DS1,Wet,2011,2,261.2,3.32,60.8,Moderate,1,1
Hambantota,Hambantota-DS6,Dry,2023,9,72.5,1.76,26.7,Poor,0,0
Kegalle,Kegalle-DS5,Wet,2011,11,283.7,3.2,51.0,Moderate,1,1
Kurunegala,Kurunegala-DS4,Intermediate,2016,3,158.0,2.62,48.1,Good,1,1
Vavuniya,Vavuniya-DS4,Dry,2018,10,162.8,2.26,41.4,Good,0,0
Badulla,Badulla-DS1,Intermediate,2018,7,337.2,2.59,47.5,Moderate,0,0
Trincomalee,Trincomalee-DS6,Dry,2022,3,52.4,2.62,26.5,Good,1,1
Nuwara Eliya,Nuwara Eliya-DS3,Wet,2022,1,240.8,2.54,43.4,Poor,0,0
Kurunegala,Kurunegala-DS4,Intermediate,2018,6,141.1,2.57,41.3,Poor,1,0
Puttalam,Puttalam-DS6,Dry,2025,4,96.5,1.88,41.2,Poor,0,0
Kilinochchi,Kilinochchi-DS5,Dry,2015,3,51.1,1.83,33.7,Poor,0,0
Galle,Galle-DS6,Wet,2009,3,343.8,3.53,60.2,Moderate,1,0
Ratnapura,Ratnapura-DS2,Wet,2011,4,254.5,3.48,56.0,Poor,1,1
Anuradhapura,Anuradhapura-DS3,Dry,2022,11,127.0,1.78,35.7,Good,0,0
Batticaloa,Batticaloa-DS4,Dry,2024,11,175.7,2.62,37.9,Good,1,1
Kegalle,Kegalle-DS3,Wet,2011,2,167.6,2.51,58.8,Good,1,0
Moneragala,Moneragala-DS1,Dry,2022,4,75.1,1.75,26.4,Poor,0,0
Batticaloa,Batticaloa-DS1,Dry,2017,10,168.5,2.33,40.4,Poor,1,0
Matale,Matale-DS5,Intermediate,2021,7,217.9,2.42,52.5,Moderate,0,0
Colombo,Colombo-DS4,Wet,2016,5,293.2,3.4,50.9,Poor,1,1
Polonnaruwa,Polonnaruwa-DS6,Dry,2015,4,70.9,1.51,25.0,Poor,0,0
Puttalam,Puttalam-DS6,Dry,2010,6,66.0,1.8,32.6,Good,0,0
Puttalam,Puttalam-DS3,Dry,2008,5,103.6,1.88,31.9,Poor,0,0
Jaffna,Jaffna-DS1,Dry,2017,9,132.1,2.46,42.7,Good,0,0
Puttalam,Puttalam-DS4,Dry,2013,8,72.2,1.69,25.2,Moderate,0,0
Kilinochchi,Kilinochchi-DS3,Dry,2014,12,122.0,1.78,38.4,Good,0,0
Puttalam,Puttalam-DS2,Dry,2011,2,90.7,1.99,42.5,Good,0,0
Nuwara Eliya,Nuwara Eliya-DS3,Wet,2013,9,346.8,2.62,51.5,Moderate,0,1
Kurunegala,Kurunegala-DS3,Intermediate,2013,3,159.6,2.83,42.5,Good,1,0
Jaffna,Jaffna-DS2,Dry,2011,12,194.7,2.29,52.5,Moderate,0,0
Trincomalee,Trincomalee-DS2,Dry,2024,4,99.3,2.66,34.2,Good,1,0
Polonnaruwa,Polonnaruwa-DS2,Dry,2022,5,62.6,1.38,44.0,Moderate,0,0
Jaffna,Jaffna-DS4,Dry,2008,4,126.7,2.5,41.8,Good,0,0
Kilinochchi,Kilinochchi-DS2,Dry,2015,6,121.2,1.78,38.5,Moderate,0,0
Ratnapura,Ratnapura-DS2,Wet,2018,1,153.3,3.16,37.9,Moderate,1,0
Batticaloa,Batticaloa-DS3,Dry,2014,10,173.4,2.33,51.0,Moderate,1,1
Matara,Matara-DS2,Wet,2020,3,169.1,2.74,57.0,Poor,1,0
Matara,Matara-DS3,Wet,2020,7,332.3,3.22,55.5,Good,1,1
Gampaha,Gampaha-DS1,Wet,2015,11,439.2,3.81,72.6,Good,1,1
Badulla,Badulla-DS4,Intermediate,2015,5,205.5,1.93,34.3,Poor,0,0
Kilinochchi,Kilinochchi-DS3,Dry,2020,5,67.7,1.6,36.4,Moderate,0,0
Kilinochchi,Kilinochchi-DS6,Dry,2024,1,154.2,2.01,43.9,Good,0,0
Gampaha,Gampaha-DS6,Wet,2008,7,317.4,3.25,58.8,Moderate,1,1
Puttalam,Puttalam-DS3,Dry,2022,4,33.9,1.95,25.0,Good,0,0
Matara,Matara-DS2,Wet,2021,5,200.1,2.99,44.0,Poor,1,1
Jaffna,Jaffna-DS6,Dry,2021,8,65.1,1.96,28.6,Poor,0,0
Kegalle,Kegalle-DS4,Wet,2025,10,215.8,3.1,49.2,Moderate,1,0
Moneragala,Moneragala-DS4,Dry,2014,3,50.4,1.66,20.9,Good,0,0
Trincomalee,Trincomalee-DS4,Dry,2015,3,118.9,2.36,42.6,Moderate,1,0
Kilinochchi,Kilinochchi-DS1,Dry,2013,12,286.3,2.33,51.7,Moderate,0,0
Kegalle,Kegalle-DS4,Wet,2019,4,499.5,3.84,66.8,Good,1,1
Kurunegala,Kurunegala-DS4,Intermediate,2019,6,127.7,3.09,33.4,Moderate,1,1
Matara,Matara-DS2,Wet,2016,7,196.5,3.16,50.0,Moderate,1,1
Mullaitivu,Mullaitivu-DS1,Dry,2013,1,266.9,2.39,39.0,Moderate,0,0
Batticaloa,Batticaloa-DS3,Dry,2009,11,160.4,2.29,46.8,Good,1,0
Puttalam,Puttalam-DS4,Dry,2025,12,134.8,1.78,30.1,Poor,0,0
Gampaha,Gampaha-DS1,Wet,2010,4,344.7,3.41,64.8,Good,1,1
Vavuniya,Vavuniya-DS5,Dry,2014,9,59.1,1.88,40.5,Good,0,1
Hambantota,Hambantota-DS1,Dry,2019,10,177.6,2.17,32.8,Good,0,0
Polonnaruwa,Polonnaruwa-DS1,Dry,2017,2,109.2,1.71,39.2,Moderate,0,0
Batticaloa,Batticaloa-DS4,Dry,2025,10,144.0,2.61,48.6,Moderate,1,1
Ratnapura,Ratnapura-DS1,Wet,2010,6,160.8,2.8,47.3,Good,1,0
Moneragala,Moneragala-DS2,Dry,2018,11,115.8,1.99,39.0,Moderate,0,0
Trincomalee,Trincomalee-DS2,Dry,2013,6,90.6,2.41,39.4,Moderate,1,0
Colombo,Colombo-DS5,Wet,2020,7,349.3,3.07,71.4,Good,1,0
Kilinochchi,Kilinochchi-DS2,Dry,2012,3,94.9,1.79,32.2,Moderate,0,0
Gampaha,Gampaha-DS5,Wet,2019,5,456.5,4.03,67.1,Poor,1,1
Ratnapura,Ratnapura-DS1,Wet,2013,6,193.2,3.12,49.7,Moderate,1,1
Nuwara Eliya,Nuwara Eliya-DS5,Wet,2018,2,341.9,2.84,67.8,Good,0,0
Ratnapura,Ratnapura-DS2,Wet,2011,12,267.3,3.49,54.1,Good,1,0
Polonnaruwa,Polonnaruwa-DS3,Dry,2012,5,60.3,1.97,18.8,Moderate,0,0
Anuradhapura,Anuradhapura-DS6,Dry,2020,5,86.7,1.57,36.7,Poor,0,0
Polonnaruwa,Polonnaruwa-DS1,Dry,2023,7,40.4,1.7,39.6,Moderate,0,0
Jaffna,Jaffna-DS3,Dry,2015,8,116.3,1.79,38.3,Poor,0,0
Nuwara Eliya,Nuwara Eliya-DS5,Wet,2024,12,358.5,3.23,49.4,Good,0,1
Polonnaruwa,Polonnaruwa-DS5,Dry,2019,1,152.8,1.83,34.4,Good,0,0
Nuwara Eliya,Nuwara Eliya-DS3,Wet,2012,8,338.8,2.76,52.3,Poor,0,0
Jaffna,Jaffna-DS2,Dry,2014,8,91.2,1.86,34.5,Moderate,0,0
Kegalle,Kegalle-DS5,Wet,2024,7,324.3,3.67,62.6,Moderate,1,1
Nuwara Eliya,Nuwara Eliya-DS2,Wet,2024,11,314.6,2.89,54.2,Good,0,0
Colombo,Colombo-DS1,Wet,2020,2,120.2,2.79,49.4,Moderate,1,0
Matale,Matale-DS2,Intermediate,2008,9,114.0,2.26,35.5,Moderate,0,0
Ampara,Ampara-DS5,Dry,2011,5,104.4,1.63,39.9,Poor,0,0
Polonnaruwa,Polonnaruwa-DS5,Dry,2008,1,141.8,1.91,42.9,Moderate,0,0
Kalutara,Kalutara-DS6,Wet,2020,7,517.4,4.3,70.0,Good,1,1
Badulla,Badulla-DS2,Intermediate,2014,6,146.6,2.36,36.0,Moderate,0,0
Badulla,Badulla-DS1,Intermediate,2014,10,210.1,2.43,34.8,Moderate,0,1
Trincomalee,Trincomalee-DS1,Dry,2012,7,65.0,2.6,36.4,Moderate,1,0
Kegalle,Kegalle-DS1,Wet,2020,11,142.9,2.88,44.7,Poor,1,0
Polonnaruwa,Polonnaruwa-DS4,Dry,2018,7,45.1,1.44,26.8,Good,0,0
Badulla,Badulla-DS2,Intermediate,2025,11,92.2,2.11,41.1,Poor,0,0
Nuwara Eliya,Nuwara Eliya-DS6,Wet,2017,2,262.6,2.87,43.4,Poor,0,0
Kurunegala,Kurunegala-DS6,Intermediate,2016,11,177.5,2.79,35.5,Moderate,1,0
Mannar,Mannar-DS1,Dry,2022,1,181.2,1.98,57.5,Moderate,0,0
Matale,Matale-DS6,Intermediate,2014,2,171.2,1.84,36.2,Poor,0,0
Gampaha,Gampaha-DS3,Wet,2019,4,410.3,3.56,63.3,Good,1,0
Ampara,Ampara-DS5,Dry,2017,1,252.4,2.46,51.2,Moderate,0,0
Polonnaruwa,Polonnaruwa-DS3,Dry,2019,7,69.7,1.95,32.6,Moderate,0,0
Mullaitivu,Mullaitivu-DS1,Dry,2012,2,106.6,1.7,39.4,Moderate,0,0
Jaffna,Jaffna-DS5,Dry,2024,12,153.0,1.99,46.6,Poor,0,0
Batticaloa,Batticaloa-DS2,Dry,2025,1,204.2,2.84,38.5,Moderate,1,1
Kurunegala,Kurunegala-DS1,Intermediate,2020,9,274.7,3.23,54.5,Poor,1,0
Vavuniya,Vavuniya-DS2,Dry,2012,11,201.5,2.58,40.3,Poor,0,0
Vavuniya,Vavuniya-DS6,Dry,2008,1,137.3,1.81,40.3,Moderate,0,0
Mullaitivu,Mullaitivu-DS1,Dry,2022,7,120.1,1.92,37.5,Good,0,0
Matale,Matale-DS1,Intermediate,2018,9,170.6,1.94,37.0,Good,0,0
Kegalle,Kegalle-DS4,Wet,2018,12,224.8,2.84,54.1,Moderate,1,0
Matara,Matara-DS4,Wet,2015,8,275.0,3.41,62.4,Moderate,1,0
Galle,Galle-DS5,Wet,2018,12,406.5,3.6,59.7,Moderate,1,0
Kalutara,Kalutara-DS5,Wet,2021,1,132.1,3.01,41.1,Moderate,1,0
Matale,Matale-DS2,Intermediate,2015,9,144.9,1.78,35.6,Moderate,0,0
Moneragala,Moneragala-DS3,Dry,2009,11,163.9,2.13,51.4,Good,0,0
Moneragala,Moneragala-DS5,Dry,2021,7,97.6,1.91,40.8,Moderate,0,0
Jaffna,Jaffna-DS4,Dry,2019,5,114.4,2.07,39.3,Good,0,0
Nuwara Eliya,Nuwara Eliya-DS2,Wet,2017,10,239.1,2.62,52.1,Moderate,0,0
Moneragala,Moneragala-DS4,Dry,2019,9,117.0,2.13,32.4,Moderate,0,0
Batticaloa,Batticaloa-DS1,Dry,2013,10,94.2,2.18,28.3,Good,1,0
Ampara,Ampara-DS4,Dry,2011,7,85.6,1.34,43.3,Good,0,0
Matale,Matale-DS4,Intermediate,2022,3,151.5,1.81,33.8,Good,0,0
Mannar,Mannar-DS5,Dry,2020,4,81.3,1.6,39.7,Moderate,0,0
Trincomalee,Trincomalee-DS4,Dry,2016,3,86.8,2.34,34.1,Moderate,1,0
Colombo,Colombo-DS1,Wet,2013,4,246.5,3.09,44.6,Moderate,1,0
Mullaitivu,Mullaitivu-DS3,Dry,2020,4,112.0,1.81,45.0,Good,0,0
Puttalam,Puttalam-DS6,Dry,2014,3,65.9,1.9,37.7,Poor,0,0
Mannar,Mannar-DS3,Dry,2015,3,215.2,2.35,43.9,Poor,0,1
Kurunegala,Kurunegala-DS1,Intermediate,2020,11,198.5,2.58,43.6,Good,1,0
Kegalle,Kegalle-DS6,Wet,2024,2,371.8,3.61,59.6,Good,1,1
Galle,Galle-DS6,Wet,2009,9,328.5,3.52,62.6,Moderate,1,0
Vavuniya,Vavuniya-DS4,Dry,2018,4,115.4,1.72,41.0,Poor,0,0
Anuradhapura,Anuradhapura-DS3,Dry,2015,7,49.4,1.87,26.1,Poor,0,0
Puttalam,Puttalam-DS1,Dry,2014,8,74.5,2.22,34.6,Moderate,0,0
Matale,Matale-DS2,Intermediate,2013,2,248.6,2.26,47.2,Poor,0,0
Kilinochchi,Kilinochchi-DS1,Dry,2019,1,256.2,2.43,46.3,Poor,0,0
Kegalle,Kegalle-DS4,Wet,2011,3,221.6,2.83,58.3,Moderate,1,0
Matara,Matara-DS6,Wet,2017,10,267.0,3.17,66.1,Moderate,1,0
Badulla,Badulla-DS3,Intermediate,2018,1,123.7,1.81,34.0,Moderate,0,0
Kilinochchi,Kilinochchi-DS3,Dry,2011,6,68.2,1.73,43.4,Good,0,0
Ratnapura,Ratnapura-DS2,Wet,2008,7,397.7,4.13,50.5,Good,1,1
Batticaloa,Batticaloa-DS6,Dry,2019,5,112.2,1.94,54.8,Moderate,1,0
Kalutara,Kalutara-DS2,Wet,2020,3,177.9,3.04,48.1,Good,1,0
Puttalam,Puttalam-DS6,Dry,2013,6,92.8,1.97,32.8,Moderate,0,0
Kalutara,Kalutara-DS6,Wet,2016,12,241.8,3.21,57.5,Good,1,1
Gampaha,Gampaha-DS3,Wet,2010,4,304.7,2.95,48.6,Poor,1,0
Kegalle,Kegalle-DS2,Wet,2020,8,468.4,3.43,76.9,Poor,1,1
Ratnapura,Ratnapura-DS1,Wet,2016,3,163.9,2.83,46.3,Good,1,0
Kandy,Kandy-DS4,Wet,2011,7,571.2,4.05,81.5,Moderate,1,1
Kurunegala,Kurunegala-DS4,Intermediate,2019,5,250.2,2.78,42.8,Good,1,1
Galle,Galle-DS2,Wet,2018,10,305.2,3.41,40.9,Moderate,1,0
Colombo,Colombo-DS3,Wet,2015,2,158.6,2.89,46.5,Poor,1,0
Kandy,Kandy-DS2,Wet,2013,10,290.6,2.9,56.2,Poor,1,1
Moneragala,Moneragala-DS6,Dry,2021,10,214.1,2.57,46.4,Good,0,0
Kegalle,Kegalle-DS5,Wet,2022,4,308.6,3.45,55.6,Good,1,1
Kandy,Kandy-DS3,Wet,2020,7,304.6,3.28,70.9,Good,1,1
Vavuniya,Vavuniya-DS3,Dry,2019,8,118.7,1.92,32.1,Poor,0,0
Mannar,Mannar-DS2,Dry,2024,10,98.6,1.28,44.4,Moderate,0,0
Kandy,Kandy-DS5,Wet,2025,2,168.7,2.82,40.0,Moderate,1,1
Kurunegala,Kurunegala-DS4,Intermediate,2012,9,259.3,3.14,52.6,Moderate,1,0
Matara,Matara-DS3,Wet,2019,8,302.9,3.4,46.0,Moderate,1,0
Kegalle,Kegalle-DS6,Wet,2021,7,329.1,3.53,65.1,Moderate,1,1
